scenario,profit_eur
1114,1200979.6480532973
1115,1186304.6426031003
1116,1513213.2386240498
1117,1483704.1160724587
1118,1493240.0756414502
1119,1464767.2872127704
1120,479338.20522068825
1121,471986.2937772303
1122,476905.07958914724
1123,469747.08405917836
1124,931485.0089583916
1125,927282.776253076
1126,951920.7718201851
1127,917796.191619151
1128,966701.810167592
1129,960813.2858615068
1130,971217.8743643747
1131,949690.6587453578
1132,1355489.8404622255
1133,1350562.8389302539
1134,1359016.523188842
1135,1330190.8508753525
1136,1091980.593647527
1137,1084444.7317059902
1138,1101760.6321357568
1139,1077276.7741598454
1140,1138690.7748116292
1141,1131719.2159352233
1142,1145313.0218833457
1143,1120052.9813779683
1144,1090370.499578509
1145,1079044.0774862585
1146,1093645.0669033444
1147,1074932.435966509
1148,979663.6416596253
1149,972556.1566895361
1150,976598.2211888885
1151,966303.2182641648
1152,1244506.2721949734
1153,1231628.5645184764
1154,1247918.657108799
1155,1219458.567740744
1156,1274369.324100685
1157,1269934.0144823967
1158,1293122.7912996672
1159,1256837.5061916327
1160,698173.0252650534
1161,685041.5648445155
1162,695446.1539841233
1163,684819.6681467034
1164,474694.04322754574
1165,479003.74473568826
1166,474518.662172967
1167,468864.9820840072
1168,422080.2391617235
1169,398769.0218268926
1170,403688.87366650125
1171,399850.71426904807
1172,1091353.3047230446
1173,1078180.4424948317
1174,1104592.1035682154
1175,1077524.3291335772
1176,900419.4860720437
1177,901590.6616088137
1178,908082.278044248
1179,890562.38640922
1180,644029.7706477516
1181,625104.9356730146
1182,632371.7684243137
1183,621378.8877610668
1184,1108922.2383811057
1185,1104818.3447032678
1186,1124612.2028977964
1187,1093647.4772472451
1188,828189.3431471975
1189,813776.2538677006
1190,812099.8682828727
1191,808086.0419907682
1192,1059037.7373248697
1193,1042943.5237837834
1194,1048017.003601637
1195,1037494.8236816088
1196,1320306.8682942146
1197,1307799.221610711
1198,1323852.8949275725
1199,1302120.3822084332
1200,554006.1597424776
1201,540362.6861567639
1202,540518.0192614846
1203,532783.4792383581
1204,1040825.9339190186
1205,1027825.0145956865
1206,1047958.2777780556
1207,1009834.715794856
1208,1084248.1779779065
1209,1068071.4060255708
1210,1071704.9665081066
1211,1047909.2529723155
1212,1515775.6231583413
1213,1496885.2595997443
1214,1495718.143058715
1215,1464447.1302950978
1216,1209985.1772099868
1217,1192398.7199440477
1218,1203515.8169858968
1219,1175394.5405700887
1220,1271404.9065067484
1221,1253537.2620515
1222,1259200.1753602242
1223,1230887.8700416833
1224,1209170.4422232274
1225,1187473.6176664617
1226,1194515.942554075
1227,1173670.0014407455
1228,1084881.9175057376
1229,1068778.6913054986
1230,1065235.5925513264
1231,1053694.3187163267
1232,1397005.621826894
1233,1370117.4187291304
1234,1376957.3902944997
1235,1346350.8767378947
1236,1411061.5213230848
1237,1394129.4249485189
1238,1410046.64561178
1239,1370540.0796265793
1240,801466.6439681929
1241,778902.875936489
1242,782169.6807672062
1243,771999.6741670666
1244,508377.4917614693
1245,508969.79661776905
1246,502041.1271766797
1247,496184.00320104585
1248,548817.789766668
1249,513955.51347797434
1250,510451.57447186473
1251,508501.355055605
1252,1214614.6401205473
1253,1190397.9332782533
1254,1209624.2637654308
